Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Sorsum, Hildesheim (31139)",250.590 € 1.740 €/m²,6 Zimmer,144 m²,633 m² Grundstück,https://www.immowelt.de/expose/f77a75eb-399d-4542-ae6e-4141ab09c207
"Sorsum, Hildesheim (31139)",186.800 € 2.426 €/m²,4 Zimmer,77 m²,633 m² Grundstück,https://www.immowelt.de/expose/fc5626ce-124d-473d-acc4-32eb3923ee73
"Sorsum, Hildesheim (31139)",227.250 € 2.144 €/m²,3 Zimmer,106 m²,633 m² Grundstück,https://www.immowelt.de/expose/8f112a06-933d-4fb9-8c03-b544a13a2213
"Einum, Hildesheim (31135)",202.650 € 2.252 €/m²,4 Zimmer,90 m²,650 m² Grundstück,https://www.immowelt.de/expose/6d3afa94-2747-460b-91bb-b10ed7f61636
"Einum, Hildesheim (31135)",242.650 € 1.784 €/m²,4 Zimmer,136 m²,650 m² Grundstück,https://www.immowelt.de/expose/96c09037-9341-437e-968a-ff4da2f8adda
"Einum, Hildesheim (31135)",213.750 € 1.961 €/m²,4 Zimmer,109 m²,650 m² Grundstück,https://www.immowelt.de/expose/ab925fcf-9f6a-4b8e-812e-7ccfc1a44d71
"Ost, Hildesheim (31135)",340.000 € 2.982 €/m²,4 Zimmer,114 m²,450 m² Grundstück,https://www.immowelt.de/expose/11a8fc69-799a-40e7-9ce6-96231b8db35c
"Neuhof, Hildesheim-Neuhof (31139)",370.000 € 1.529 €/m²,242 m²,563 m² Grundstück,Unknown,https://www.immowelt.de/expose/46146b23-f3b1-4e99-b261-6a877c28c4c6
"Galgenberg, Hildesheim (31141)",199.000 € 2.189 €/m²,5 Zimmer,"90,9 m²",frei ab sofort,https://www.immowelt.de/expose/5afe5889-ba51-434e-9070-18ee10dbd156
"Moritzberg, Hildesheim (31137)",109.000 € 1.652 €/m²,2 Zimmer,66 m²,4. Geschoss,https://www.immowelt.de/expose/ed942837-fdc3-41a0-ba0f-8b8027bd75c4
"Moritzberg, Hildesheim (31137)",319.000 € 2.658 €/m²,3 Zimmer,120 m²,314 m² Grundstück,https://www.immowelt.de/expose/ba53921a-9e3f-4bdf-8ada-9b2d0d58e06f
"Ochtersum, Hildesheim (31139)",464.000 € 3.597 €/m²,"4,5 Zimmer",129 m²,574 m² Grundstück,https://www.immowelt.de/expose/4ca65ed7-9d61-43df-9bbf-7b9c3573c214
"Ochtersum, Hildesheim (31139)",435.000 € 2.522 €/m²,4 Zimmer,"172,5 m²",432 m² Grundstück,https://www.immowelt.de/expose/245c9c0a-f985-4643-a1f0-d2d1432203cb
"Karthäuser Straße 25, West, Hildesheim (31139)",555.000 € 1.881 €/m²,10 Zimmer,295 m²,595 m² Grundstück,https://www.immowelt.de/expose/19d951c1-ebbe-4f3d-a7fd-1dc8b22faa84
"Galgenberg, Hildesheim (31141)",180.000 € 1.636 €/m²,4 Zimmer,110 m²,frei ab sofort,https://www.immowelt.de/expose/2de16ba7-a1b0-4dfe-8430-a64ec9f7ea97
"Galgenberg, Hildesheim (31141)",450.000 € 2.778 €/m²,8 Zimmer,162 m²,270 m² Grundstück,https://www.immowelt.de/expose/0c5cc6d1-10bd-4384-8065-302c1515afc0
"Süd, Hildesheim (31134)",399.000 € 3.627 €/m²,3 Zimmer,110 m²,1. Geschoss,https://www.immowelt.de/expose/ae185938-b6d7-4a37-97ef-8c24c5b348ec
"Neuhof, Hildesheim (31139)",189.500 € 1.995 €/m²,3 Zimmer,95 m²,4. Geschoss,https://www.immowelt.de/expose/fe42266b-9eef-4cf3-a1a0-fb09cf9a9d1d
"Itzum, Hildesheim (31141)",549.000 € 3.921 €/m²,5 Zimmer,140 m²,640 m² Grundstück,https://www.immowelt.de/expose/1c979326-094c-4a4c-a193-4b8c34e0bf6c
"Galgenberg, Hildesheim (31141)",319.000 € 2.774 €/m²,"4,5 Zimmer",115 m²,175 m² Grundstück,https://www.immowelt.de/expose/41366ead-d658-4332-9f77-ea7da4bdfea2
"Ost, Hildesheim (31134)",940.000 € 2.089 €/m²,16 Zimmer,450 m²,250 m² Grundstück,https://www.immowelt.de/expose/01d21a75-3519-465a-8397-4bda23da9506
"Neuhof, Neuhof (31139)",305.334 € 2.503 €/m²,4 Zimmer,122 m²,400 m² Grundstück,https://www.immowelt.de/expose/f8945936-e8b4-470a-9fd4-74c2aa6b5c67
"West, Hildesheim (31139)",219.000 € 1.973 €/m²,4 Zimmer,111 m²,Unknown,https://www.immowelt.de/expose/de11a974-56fd-4ae2-a0d9-f07f3da5ce91
"Himmelsthür, Hildesheim (31137)",450.000 € 3.041 €/m²,4 Zimmer,148 m²,1. Geschoss,https://www.immowelt.de/expose/bd9b3eb3-9b5d-4936-918e-e76d40c2851e
"Himmelsthür, Hildesheim (31137)",450.000 € 3.333 €/m²,4 Zimmer,135 m²,Unknown,https://www.immowelt.de/expose/705d9a5e-6d8b-4d99-8ab7-0fbee35b4588
"Einumer Str. 5, Ost, Hildesheim (31135)",210.000 € 3.182 €/m²,4 Zimmer,66 m²,2. Geschoss,https://www.immowelt.de/expose/58dd8146-639d-4298-9477-5bc8ddc9fb8d
"Itzum, Hildesheim (31135)",699.000 € 3.491 €/m²,6 Zimmer,"200,2 m²",388 m² Grundstück,https://www.immowelt.de/expose/2af09fad-27d3-492d-9484-5e56fb907324
"Galgenberg, Hildesheim (31135)",110.000 € 3.415 €/m²,1 Zimmer,"32,2 m²",Unknown,https://www.immowelt.de/expose/21af0750-8735-4077-a995-1da29c668d68
"Nordstadt, Hildesheim (31137)",475.000 € 3.141 €/m²,5 Zimmer,"151,2 m²",Unknown,https://www.immowelt.de/expose/bd725614-c310-4bd8-bef7-5b5581d62846
"Nordstadt, Hildesheim (31137)",475.000 € 3.141 €/m²,5 Zimmer,"151,2 m²",Unknown,https://www.immowelt.de/expose/e98b70b6-47a5-4219-9921-3dc62685e66d
"Nordstadt, Hildesheim (31137)",455.000 € 3.009 €/m²,5 Zimmer,"151,2 m²",Unknown,https://www.immowelt.de/expose/1965d71d-bd61-4de3-9640-f61f777e9bc1
"Sorsum, Hildesheim (31139)",179.000 € 1.432 €/m²,5 Zimmer,125 m²,Unknown,https://www.immowelt.de/expose/bf52a2a5-57d0-40bb-b4dc-cc98982c025b
"Mitte, Hildesheim (31134)",790.000 € 2.926 €/m²,9 Zimmer,270 m²,1.227 m² Grundstück,https://www.immowelt.de/expose/c04c8f79-0085-4e12-933b-3647027b8d5e
"Moritzberg, Hildesheim (31137)",339.000 € 1.449 €/m²,12 Zimmer,234 m²,341 m² Grundstück,https://www.immowelt.de/expose/003d5639-8ff8-4e1d-a50d-af524587df39
"Ost, Hildesheim (31135)",99.000 € 52 €/m²,2 Zimmer,52 m²,Unknown,https://www.immowelt.de/expose/e225d784-0bd8-4ca3-a63b-6e3edccee6f8
"Ost, Hildesheim (31135)",429.000 € 3.000 €/m²,5 Zimmer,143 m²,442 m² Grundstück,https://www.immowelt.de/expose/9699eeb4-b7c6-4622-bed7-61299a069200
"Ost, Hildesheim-Ost (31135)",445.000 € 2.928 €/m²,3 Zimmer,152 m²,1. Geschoss,https://www.immowelt.de/expose/79e4cba1-419d-46f0-b998-524d5fe0fa63
"Ochtersum, Hildesheim (31139)",729.000 € 3.038 €/m²,8 Zimmer,240 m²,682 m² Grundstück,https://www.immowelt.de/expose/70a58175-69fd-4525-85fa-fd7ba6616663
"Himmelsthür, Hildesheim (31137)",314.000 € 4.661 €/m²,2 Zimmer,"67,4 m²",2. Geschoss,https://www.immowelt.de/expose/1dd60052-e475-42c7-a1e0-9ab05a906dbb
"Himmelsthür, Hildesheim (31137)",363.595 € 4.661 €/m²,2 Zimmer,78 m²,2. Geschoss,https://www.immowelt.de/expose/39eb6028-5ed6-406d-b738-6ee9f9704feb
"Himmelsthür, Hildesheim (31137)",314.000 € 4.661 €/m²,2 Zimmer,"67,4 m²",1. Geschoss,https://www.immowelt.de/expose/c4742117-48e3-4c51-9606-661dcdbcaaf0
"Himmelsthür, Hildesheim (31137)",363.595 € 4.661 €/m²,2 Zimmer,78 m²,1. Geschoss,https://www.immowelt.de/expose/2342617c-974d-431a-9807-6ef7aa6281d8
"Himmelsthür, Hildesheim (31137)",329.000 € 4.883 €/m²,2 Zimmer,"67,4 m²",Unknown,https://www.immowelt.de/expose/2f0ea243-9183-45ec-8d09-c4667b146f0c
