Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Parkvorstadt, Weimar (99425)",575.000 € 3.594 €/m²,4 Zimmer,160 m²,199 m² Grundstück,https://www.immowelt.de/expose/0f22ad17-8e09-4fd3-83b9-64c8ab2bf0d9
"Schönblick, Weimar (99423)",590.000 € 2.458 €/m²,11 Zimmer,240 m²,502 m² Grundstück,https://www.immowelt.de/expose/bc208f8d-628e-49b6-9f32-39b5cad06aba
"Gaberndorf, Weimar (99428)",170.000 € 2.537 €/m²,3 Zimmer,67 m²,frei ab sofort,https://www.immowelt.de/expose/df356470-0070-401b-9b80-706b33659c76
"Westvorstadt, Weimar (99423)",2.200.000 € 3.416 €/m²,27 Zimmer,644 m²,1.219 m² Grundstück,https://www.immowelt.de/expose/8bb0e944-75d2-4b30-9d4d-0b81eaaf6076
"Südstadt, Weimar (99425)",298.999 € 1.516 €/m²,5 Zimmer,"197,2 m²",560 m² Grundstück,https://www.immowelt.de/expose/61b13ce7-dae8-4ec7-ab69-3e16b0c16fe3
"Südstadt, Weimar (99425)",212.999 € 1.519 €/m²,4 Zimmer,"140,3 m²",742 m² Grundstück,https://www.immowelt.de/expose/9425ebcf-60e1-41fe-822b-b8555d3b910d
"Südstadt, Weimar (99425)",356.729 € 2.544 €/m²,4 Zimmer,"140,3 m²",763 m² Grundstück,https://www.immowelt.de/expose/3fca8b61-7d0e-4dbf-89b0-d0f938815db3
"Schöndorf, Weimar (99427)",220.000 € 1.859 €/m²,5 Zimmer,"118,4 m²",521 m² Grundstück,https://www.immowelt.de/expose/b7c8294d-c513-43ce-941a-8383dc0a87c4
Unknown,Unknown,3 Zimmer,"83,9 m²",Unknown,https://www.immowelt.de/projekte/expose/k2s5432
Unknown,Unknown,4 Zimmer,"94,7 m²",Unknown,https://www.immowelt.de/projekte/expose/k2s5432
"Eduard-Rosenthal-Straße 32, Nordvorstadt, Weimar (99423)",390.000 € 3.250 €/m²,4 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/d7420fab-9a98-49f8-9cb5-b361359311a9
"Paul-Schneider-Straße 49, Westvorstadt, Weimar (99423)",265.000 € 3.897 €/m²,"2,5 Zimmer",68 m²,EG,https://www.immowelt.de/expose/ed525a8e-15dd-4db4-a407-ad1c74bc8e44
"Westvorstadt, Weimar (99423)",174.000 € 2.365 €/m²,3 Zimmer,"73,6 m²",2. Geschoss,https://www.immowelt.de/expose/54c1b495-93ac-491d-a61e-b7a89e4052fe
"Westvorstadt, Weimar (99423)",175.000 € 2.363 €/m²,3 Zimmer,74 m²,3. Geschoss,https://www.immowelt.de/expose/e741c170-8d3a-451e-9c3b-023940cb6fca
"Westvorstadt, Weimar (99423)",81.000 € 2.190 €/m²,2 Zimmer,"38,8 m²",EG,https://www.immowelt.de/expose/e0732b75-4352-42dd-a940-8b6e8b84cc19
"Taubach, Weimar (99425)",395.000 € 3.038 €/m²,5 Zimmer,130 m²,270 m² Grundstück,https://www.immowelt.de/expose/2f94ab52-7f19-46c3-aa11-d0c0833dba54
"Nordvorstadt, Weimar (99423)",380.000 € 2.209 €/m²,8 Zimmer,172 m²,452 m² Grundstück,https://www.immowelt.de/expose/737fba3c-aadd-48c1-976f-e887e76c4aec
"Nordvorstadt, Weimar (99423)",255.000 € 2.684 €/m²,4 Zimmer,95 m²,193 m² Grundstück,https://www.immowelt.de/expose/0e795b2b-61d4-4989-814e-4a1c24abddfd
"Taubach, Weimar (99425)",360.000 € 2.769 €/m²,6 Zimmer,130 m²,767 m² Grundstück,https://www.immowelt.de/expose/63d4717a-a5b4-4b6f-8703-9dbee35f52b6
"Westvorstadt, Weimar (99423)",595.000 € 1.617 €/m²,14 Zimmer,368 m²,382 m² Grundstück,https://www.immowelt.de/expose/b1ed78d0-bc3e-4c91-b438-5b379da80fc1
"Altstadt, Weimar (99428)",267.999 € 2.330 €/m²,3 Zimmer,115 m²,Unknown,https://www.immowelt.de/expose/4176a463-cfd7-4e38-b56b-f750aa5c3da7
"Nordstadt, Weimar (99427)",249.999 € 1.866 €/m²,4 Zimmer,134 m²,Unknown,https://www.immowelt.de/expose/ad1770da-1052-4ce3-bbcf-43a920a495b5
"Niedergrunstedt, Weimar (99428)",382.599 € 1.649 €/m²,6 Zimmer,232 m²,Unknown,https://www.immowelt.de/expose/5ca339ad-2cca-49c8-9247-1ecb5b83c495
"Südstadt, Weimar (99425)",183.000 € 2.499 €/m²,3 Zimmer,"73,2 m²",Unknown,https://www.immowelt.de/expose/ef95ee1b-5e1e-4423-a688-ed31679d56f5
"Legefeld, Weimar (99428)",205.999 € 1.829 €/m²,3 Zimmer,"112,6 m²",600 m² Grundstück,https://www.immowelt.de/expose/8e48809b-785c-4160-8060-d3c20a7bebb0
"Legefeld, Weimar (99428)",399.000 € 3.729 €/m²,5 Zimmer,107 m²,371 m² Grundstück,https://www.immowelt.de/expose/39ef1dd8-15e4-416b-8741-d4b98848e364
"Legefeld, Legefeld (99428)",205.999 € 1.829 €/m²,3 Zimmer,"112,6 m²",600 m² Grundstück,https://www.immowelt.de/expose/b2d466f1-fb5d-416e-8bb4-76db261e8933
"Südstadt, Weimar (99425)",232.999 € 1.356 €/m²,5 Zimmer,"171,8 m²",1.800 m² Grundstück,https://www.immowelt.de/expose/bbeb5315-8152-42db-8dd0-63bfa47b7130
"Bussardweg 2, Legefeld, Weimar (99428)",133.000 € 1.956 €/m²,2 Zimmer,68 m²,Unknown,https://www.immowelt.de/expose/b31e3b72-517e-4001-ba46-b67f65d57260
"Eichelborn, Isseroda (99428)",335.120 € 2.681 €/m²,4 Zimmer,125 m²,600 m² Grundstück,https://www.immowelt.de/expose/e4b74bc0-84f7-442f-94b8-51db7c5dddeb
"Eichelborn, Isseroda (99428)",486.013 € 3.984 €/m²,4 Zimmer,122 m²,600 m² Grundstück,https://www.immowelt.de/expose/78b68d3e-4a2a-4955-856b-d82452de46ea
"Eichelborn, Isseroda (99428)",321.126 € 2.569 €/m²,4 Zimmer,125 m²,600 m² Grundstück,https://www.immowelt.de/expose/469e2d86-6deb-418a-9f6c-ac6d2a04ac8c
"Legefeld, Weimar (99428)",175.000 € 1.982 €/m²,3 Zimmer,"88,3 m²",EG,https://www.immowelt.de/expose/442f6057-70ef-422d-a17d-79f75ce919b1
"Freiherr-vom-Stein-Allee 23, Südstadt, Weimar (99423)",280.000 € 3.714 €/m²,2 Zimmer,"75,4 m²",3. Geschoss,https://www.immowelt.de/expose/67724e0b-ae7f-411c-b348-7b27eebe4f92
"Westvorstadt, Weimar (99423)",595.000 € 2.975 €/m²,7 Zimmer,200 m²,907 m² Grundstück,https://www.immowelt.de/expose/653738b3-f18b-4682-b73c-a489bb854a79
"Eichelborn, Isseroda (99428)",480.070 € 3.179 €/m²,5 Zimmer,151 m²,600 m² Grundstück,https://www.immowelt.de/expose/87764ba4-aa57-4ad9-8d97-07ba3e9840e7
"Legefeld, Weimar (99428)",464.100 € 3.097 €/m²,5 Zimmer,"149,9 m²",700 m² Grundstück,https://www.immowelt.de/expose/84d0943d-1fcd-4c1b-962b-c9860219e9cb
"Niedergrunstedt, Weimar (99428)",419.900 € 2.709 €/m²,5 Zimmer,155 m²,620 m² Grundstück,https://www.immowelt.de/expose/e2479ffa-b75f-432b-b8d2-e72d520d1061
"Niedergrunstedt, Weimar (99428)",366.900 € 2.718 €/m²,5 Zimmer,135 m²,610 m² Grundstück,https://www.immowelt.de/expose/2f8694ba-4b64-4e19-8b45-5e90f5d8afc9
"Altstadt, Weimar (99423)",399.990 € 2.759 €/m²,8 Zimmer,145 m²,239 m² Grundstück,https://www.immowelt.de/expose/74cafb77-4eb8-4260-bfce-c933bb4149e2
"Nordvorstadt, Weimar (99423)",277.596 € 4.556 €/m²,2 Zimmer,61 m²,2. Geschoss,https://www.immowelt.de/expose/f73dc1ca-981d-4b1f-89b7-26f49a8120af
"Südstadt, Weimar (99425)",258.169 € 1.887 €/m²,4 Zimmer,"136,8 m²",767 m² Grundstück,https://www.immowelt.de/expose/c35e8014-35cd-4cdc-b47e-939f08c9bceb
"Legefeld, Weimar (99428)",548.999 € 4.575 €/m²,3 Zimmer,120 m²,610 m² Grundstück,https://www.immowelt.de/expose/dabe0372-f72b-4264-84cf-92c36d9a5670
"Legefeld, Weimar (99428)",614.999 € 3.552 €/m²,5 Zimmer,"173,1 m²",1.200 m² Grundstück,https://www.immowelt.de/expose/7e39f608-9218-435b-9db2-72fcf2de41c9
"Tröbsdorf, Weimar (99428)",384.999 € 2.880 €/m²,4 Zimmer,"133,7 m²",465 m² Grundstück,https://www.immowelt.de/expose/7704f62b-88f5-42df-99b9-91db630063ae
"Legefeld, Weimar (99438)",55.000 € 1.827 €/m²,1 Zimmer,"30,1 m²",1. Geschoss,https://www.immowelt.de/expose/a024f746-7e5a-4877-9fc6-c138bd2220ef
"Oberweimar / Ehringsdorf, Oberweimar (99425)",839.000 € 4.935 €/m²,6 Zimmer,170 m²,819 m² Grundstück,https://www.immowelt.de/expose/ef25b961-5c32-48d4-b449-c31d09908beb
"Parkvorstadt, Weimar (99425)",351.759 € 2.477 €/m²,4 Zimmer,142 m²,649 m² Grundstück,https://www.immowelt.de/expose/61ce3cb7-375c-48af-94ea-9b9b0bfe42b4
"Westvorstadt, Weimar (99423)",394.219 € 3.156 €/m²,4 Zimmer,"124,9 m²",616 m² Grundstück,https://www.immowelt.de/expose/a3de3ae1-3f9d-4561-9060-71a89b74dfe1
