Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Burgeresch, Oldenburg (26123),219.900 2.806,3 Zimmer,"78,4 m²",Unknown,https://www.immowelt.de/expose/607ab238-81e7-46b7-9312-12626c377861,4004,"Burgeresch,  Oldenburg (26123)",311
Bloherfelde, Oldenburg / Wechloy (26129),199.000 2.685,3 Zimmer,"74,1 m²",Unknown,https://www.immowelt.de/expose/2d4f3aa4-b247-45fb-a810-6dd053e1fbbe,4004,"Bloherfelde,  Oldenburg / Wechloy (26129)",0
Gristeder StraÃŸe 6, Oldenburg (26127),559.000 4.848,5 Zimmer,"115,3 m²","563,5 m² Grundstuck",https://www.immowelt.de/expose/4020601c-1261-4a2b-ae94-a010fb31af60,4004,"Gristeder StraÃŸe 6,  Oldenburg (26127)",0
Gristeder StraÃŸe 6, Oldenburg (26127),489.000 4.343,4 Zimmer,"112,6 m²",280 m² Grundstuck,https://www.immowelt.de/expose/c7759026-67c7-4622-80c7-3e7ad161b965,4004,"Gristeder StraÃŸe 6,  Oldenburg (26127)",0
Bummerstede, Oldenburg (26133),75.000 882,5 Zimmer,85 m²,1.163 m² Grundstuck,https://www.immowelt.de/expose/d07b3123-ba2e-4bb6-b24d-ee51ca7da30f,4004,"Bummerstede,  Oldenburg (26133)",79
Ehnern, Oldenburg (26121),489.000 4.388,4 Zimmer,"111,4 m²",Unknown,https://www.immowelt.de/expose/1c307be3-1309-4328-81a9-952bb9cb46fd,4004,"Ehnern,  Oldenburg (26121)",258
Everstenholz, Oldenburg (26125),679.869 4.309,4 Zimmer,"157,8 m²",400 m² Grundstuck,https://www.immowelt.de/expose/87c8840c-da23-418d-a8ad-9d2f4662f735,4004,"Everstenholz,  Oldenburg (26125)",0
ScharnhorststraÃŸe, Oldenburg (26129),520.000 2.988,6 Zimmer,174 m²,438 m² Grundstuck,https://www.immowelt.de/expose/7da23c31-6dc8-444b-b86f-242232e67d55,4004,"ScharnhorststraÃŸe,  Oldenburg (26129)",0
Herrenweg, Oldenburg (26135),449.000 3.034,4 Zimmer,148 m²,654 m² Grundstuck,https://www.immowelt.de/expose/19292e9d-a26e-4b0d-8548-1facc0f85464,4004,"Herrenweg,  Oldenburg (26135)",155
Wasserturm, Oldenburg / Donnerschwee (26123),379.000 6.406,2 Zimmer,"59,2 m²",Unknown,https://www.immowelt.de/expose/6c64db6a-8536-46de-8c75-efe15f4338dd,4004,"Wasserturm,  Oldenburg / Donnerschwee (26123)",177
BurgerstraÃŸe, Oldenburg (26123),230.000 2.724,3 Zimmer,"84,4 m²",Unknown,https://www.immowelt.de/expose/b9f3b9b0-6697-4f1b-bb99-d17cd8b1dc20,4004,"BurgerstraÃŸe,  Oldenburg (26123)",0
Friedrich-August-Platz, Oldenburg (26121),228.000 2.839,3 Zimmer,"80,3 m²",1. Geschoss,https://www.immowelt.de/expose/23c55d52-fe08-4048-90b8-8c7e6756fc05,4004,"Friedrich-August-Platz,  Oldenburg (26121)",285
Haarentor, Oldenburg (26129),749.000 5.762,"3,5 Zimmer",130 m²,1.021 m² Grundstuck,https://www.immowelt.de/expose/a3e63c4c-aba3-4738-8869-b13161e07e8a,4004,"Haarentor,  Oldenburg (26129)",320
Ehnern, Oldenburg (26121),429.000 4.868,3 Zimmer,"88,1 m²",1. Geschoss,https://www.immowelt.de/expose/f50c6972-b772-4ebf-a1a8-554309b79539,4004,"Ehnern,  Oldenburg (26121)",258
Bloherfelde, Oldenburg (26129),379.000 2.445,4 Zimmer,155 m²,524 m² Grundstuck,https://www.immowelt.de/expose/82600c5e-3ed5-4c1d-b294-1d1b2e02e5bb,4004,"Bloherfelde,  Oldenburg (26129)",205
Breslauer StraÃŸe, Oldenburg (26135),298.500 2.388,6 Zimmer,125 m²,407 m² Grundstuck,https://www.immowelt.de/expose/b18b2376-deca-49bd-be94-6f7ffb48e1a9,4004,"Breslauer StraÃŸe,  Oldenburg (26135)",0
Kaspersweg, Oldenburg (26131),249.000 2.561,5 Zimmer,"97,2 m²",180 m² Grundstuck,https://www.immowelt.de/expose/b682ca6b-9155-449e-9373-d5facab2e5ec,4004,"Kaspersweg,  Oldenburg (26131)",166
FlÃ¶tenteich, Oldenburg (Oldenburg) / Nadorst (26125),699.000 4.112,5 Zimmer,170 m²,535 m² Grundstuck,https://www.immowelt.de/expose/4dba0b5e-78aa-4632-b949-6315df4ad5ed,4004,"FlÃ¶tenteich,  Oldenburg (Oldenburg) / Nadorst (26125)",0
Krusenbusch, Oldenburg (26135),497.000 2.840,"5,5 Zimmer",175 m²,947 m² Grundstuck,https://www.immowelt.de/expose/b854e7e5-70dc-4a7e-ad69-8f8eddfc1977,4004,"Krusenbusch,  Oldenburg (26135)",78
Haarenesch, Oldenburg (26121),790.000 3.950,9 Zimmer,200 m²,597 m² Grundstuck,https://www.immowelt.de/expose/d64c824c-8067-4ca1-aa04-4e743c36f2d6,4004,"Haarenesch,  Oldenburg (26121)",427
Meerkamp, Oldenburg (26133),450.000 3.539,5 Zimmer,"127,1 m²",547 m² Grundstuck,https://www.immowelt.de/expose/ac088d0d-7a12-44f4-bf58-2dab86c6fbf3,4004,"Meerkamp,  Oldenburg (26133)",182
Dietrichsfeld, Oldenburg (26127),269.000 3.165,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/expose/aff08e63-9b06-4353-8de2-f4111ec90947,4004,"Dietrichsfeld,  Oldenburg (26127)",144
Herrenweg, Oldenburg (26135),579.850 5.157,4 Zimmer,"112,4 m²",361 m² Grundstuck,https://www.immowelt.de/expose/4d63a4bb-265c-415f-8111-8625380d219e,4004,"Herrenweg,  Oldenburg (26135)",155
Wechloy, Oldenburg (26129),Preis auf Anfrage,16 Zimmer,406 m²,863 m² Grundstuck,https://www.immowelt.de/expose/48dbe957-d1a2-4a5a-acc2-1321c766f13d,4004,"Wechloy,  Oldenburg (26129)",200
Sackhofsweg, Oldenburg (26127),495.000 4.619,5 Zimmer,"107,2 m²",99 m² Grundstuck,https://www.immowelt.de/expose/2fa01ce7-51b7-4767-96d9-16b4a04e6189,4004,"Sackhofsweg,  Oldenburg (26127)",81
Meerkamp, Oldenburg (26133),395.000 3.657,3 Zimmer,108 m²,Unknown,https://www.immowelt.de/expose/cb26c2f6-88d9-4875-9532-40df5e78222f,4004,"Meerkamp,  Oldenburg (26133)",182
Bloherfelde, Oldenburg (26129),365.000 2.368,8 Zimmer,"154,1 m²",1.126 m² Grundstuck,https://www.immowelt.de/expose/c385e335-32a0-47b2-b5ad-000176cc66e0,4004,"Bloherfelde,  Oldenburg (26129)",205
Staakenweg 36a, Oldenburg (26131),534.000 4.546,5 Zimmer,"117,5 m²",240 m² Grundstuck,https://www.immowelt.de/expose/df513f29-a68e-4fbc-8e50-fdf4a6b81fe1,4004,"Staakenweg 36a,  Oldenburg (26131)",265
