Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Nells LÃ¤ndchen 3, Trier (54292),115.000 2.300,2 Zimmer,50 m²,2. Geschoss,https://www.immowelt.de/expose/a8abbab5-c412-4c7b-9c4c-7a9e2d913517,2659,"Nells LÃ¤ndchen 3,  Trier (54292)",0
Nells LÃ¤ndchen 3, Trier (54292),115.000 2.300,2 Zimmer,50 m²,1. Geschoss,https://www.immowelt.de/expose/0765913a-a925-46a5-b253-e138b97eb2a7,2659,"Nells LÃ¤ndchen 3,  Trier (54292)",0
Nells LÃ¤ndchen 3, Trier (54292),116.000 2.320,2 Zimmer,50 m²,1. Geschoss,https://www.immowelt.de/expose/89a89f42-88c0-42fd-a150-381a4a9a692d,2659,"Nells LÃ¤ndchen 3,  Trier (54292)",0
Friedrich-Wilhelm-StraÃŸe 77, Trier (54290),241.000 4.808,2 Zimmer,"50,1 m²",Unknown,https://www.immowelt.de/expose/2356795f-8d8f-4eb5-8d86-0ec8b20ce61b,2659,"Friedrich-Wilhelm-StraÃŸe 77,  Trier (54290)",0
Trier-West 1, Trier (54294),162.900 4.719,1 Zimmer,"34,5 m²",Unknown,https://www.immowelt.de/expose/567fb4b7-a20a-418b-b2e1-5b4a2697d292,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),346.300 5.149,2 Zimmer,"67,3 m²",Unknown,https://www.immowelt.de/expose/3480e9b4-c5ea-4c54-b13d-a11631b88986,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),493.400 5.411,3 Zimmer,"91,2 m²",Unknown,https://www.immowelt.de/expose/4a2f70d2-5f66-4de8-a8fc-c36597876a5a,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),252.700 5.071,2 Zimmer,"49,8 m²",Unknown,https://www.immowelt.de/expose/77914fbb-00c5-4e93-8f41-621b753d5fdf,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),238.100 4.778,2 Zimmer,"49,8 m²",Unknown,https://www.immowelt.de/expose/e67a8bc0-54d4-4e83-992b-45e198e33b9b,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),318.100 4.851,2 Zimmer,"65,6 m²",Unknown,https://www.immowelt.de/expose/ba98f0ba-6733-409e-b6cc-9e2e225b1b36,2659,"Trier-West 1,  Trier (54294)",285
Estricher Weg 5, Trier (54294),194.480 5.200,"1,5 Zimmer","37,4 m²",2. Geschoss,https://www.immowelt.de/projekte/expose/k24v832,2659,"Estricher Weg 5,  Trier (54294)",223
ZeughausstraÃŸe, Trier (54292),660.000 3.084,214 m²,Unknown,Unknown,https://www.immowelt.de/expose/beeb6f1d-c430-4e96-b873-30b912e0ad12,2659,"ZeughausstraÃŸe,  Trier (54292)",0
Maximin 5, Trier (54292),640000,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/d1e139e4-1e27-4f23-81d3-439d319e21c0,2659,"Maximin 5,  Trier (54292)",765
Trier-West 2, Trier (54290),985.000 2.782,13 Zimmer,354 m²,835 m² Grundstuck,https://www.immowelt.de/expose/455a1482-1703-40e9-9fdd-a696374db510,2659,"Trier-West 2,  Trier (54290)",103
Matthias 2, Trier (54294),1.600.000 2.909,550 m²,884 m² Grundstuck,Unknown,https://www.immowelt.de/expose/ca5b7f98-59a1-4251-8e31-1b5379772940,2659,"Matthias 2,  Trier (54294)",330
Trier-West 1, Trier (54294),533.400 5.364,3 Zimmer,"99,5 m²",Unknown,https://www.immowelt.de/expose/f569cb3c-a548-4d0a-96d0-ec4ab34cb43d,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),554.800 5.574,3 Zimmer,"99,5 m²",Unknown,https://www.immowelt.de/expose/08caa1d3-11ab-48ee-b84e-1107caa22361,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),813.300 6.450,4 Zimmer,"126,1 m²",Unknown,https://www.immowelt.de/expose/166fde6c-1a18-4c12-8a5b-de1e09bb2654,2659,"Trier-West 1,  Trier (54294)",285
Tarforst 4, Trier (54296),890.000 3.397,8 Zimmer,262 m²,564 m² Grundstuck,https://www.immowelt.de/expose/01f5a5ab-bdef-4e3d-956b-3356eb74aa81,2659,"Tarforst 4,  Trier (54296)",30
