city_ID;City_name;population
339;Mitwitz;0
340;Altenkunstadt;0
341;Redwitz a.d. Rodach;0
342;Untersiemau;0
343;Ebensfeld;0
344;Michelau i. OFr.;0
345;Sonnefeld;0
346;Ebersdorf b. Coburg;0
347;Burgkunstadt;0
348;Zapfendorf;0
349;Wonsees;0
350;Wattendorf;0
351;Walsdorf;0
352;Wachenroth;0
353;Viereth-Trunstadt;0
354;Untermerzbach;0
355;Stettfeld;0
356;Stadelhofen;0
357;Schönbrunn i. Steigerwald;0
358;Rentweinsdorf;0
359;Reckendorf;0
360;Rauhenebrach;0
361;Rattelsdorf;0
362;Pommersfelden;0
363;Pfarrweisach;0
364;Pettstadt;0
365;Oberhaid;0
366;Mühlhausen;0
367;Lisberg;0
368;Lauter;0
369;Königsfeld;0
370;Kirchlauter;0
371;Kemmern;0
372;Gundelsheim;0
373;Gerach;0
374;Geiselwind;0
375;Frensdorf;0
376;Ebrach;0
377;Buttenheim;0
378;Burgwindheim;0
379;Burghaslach;0
380;Breitbrunn;0
381;Breitengüßbach;0
382;Baunach;0
383;Altendorf;0
384;Seßlach;0
385;Burgebrach;0
386;Stegaurach;0
387;Schlüsselfeld;0
388;Strullendorf;0
389;Maroldsweisach;0
390;Litzendorf;0
391;Bischberg;0
392;Memmelsdorf;0
393;Hirschaid;0
394;Scheßlitz;0
395;Ebern;0
396;Hallstadt;0
397;Bamberg;70047
398;Tröstau;0
399;Thiersheim;0
400;Schirnding;0
401;Plößberg;0
402;Pechbrunn;0
403;Neusorg;0
404;Neualbenreuth;0
405;Nagel;0
406;Mähring;0
407;Konnersreuth;0
408;Hohenberg a.d. Eger;0
409;Fuchsmühl;0
410;Friedenfels;0
411;Fichtelberg;0
412;Falkenberg;0
413;Ebnath;0
414;Brand;0
415;Bad Alexandersbad;0
416;Wiesau;0
417;Bärnau;0
418;Mitterteich;0
419;Arzberg;0
420;Marktredwitz;0
421;Vorbach;0
422;Emtmannsberg;0
423;Plankenfels;0
424;Neustadt a. Kulm;0
425;Neudrossenfeld;0
426;Mistelbach;0
427;Marktschorgast;0
428;Kulmain;0
429;Kastl;0
430;Immenreuth;0
431;Hummeltal;0
432;Himmelkron;0
433;Heinersreuth;0
434;Harsdorf;0
435;Goldkronach;0
436;Glashütten;0
437;Gesees;0
438;Bischofsgrün;0
439;Mistelgau;0
440;Eckersdorf;0
441;Warmensteinach;0
442;Gefrees;0
443;Kemnath;0
444;Speichersdorf;0
445;Bindlach;0
446;Bad Berneck im Fichtelgebirge;0
447;Bayreuth;75061
448;Untersteinach;0
449;Trebgast;0
450;Rugendorf;0
451;Ludwigschorgast;0
452;Kupferberg;0
453;Ködnitz;0
454;Kasendorf;0
455;Guttenberg;0
456;Grafengehaig;0
457;Presseck;0
458;Marktleugast;0
459;Stadtsteinach;0
460;Neuenmarkt;0
461;Mainleus;0
462;Zell;0
463;Stammbach;0
464;Sparneck;0
465;Münchberg;0
466;Thierstein;0
467;Röslau;0
468;Regnitzlosau;0
469;Lichtenberg;0
470;Leupoldsgrün;0
471;Köditz;0
472;Issigau;0
473;Höchstädt;0
474;Gattendorf;0
475;Feilitzsch;0
476;Döhlau;0
477;Berg;0
478;Geroldsgrün;0
479;Konradsreuth;0
480;Schönwald;0
481;Marktleuthen;0
482;Weißenstadt;0
483;Kirchenlamitz;0
484;Selbitz;0
485;Oberkotzau;0
486;Bad Steben;0
487;Schwarzenbach a. Wald;0
488;Schwarzenbach a.d. Saale;0
489;Naila;0
490;Hof;49239
491;Zenting;0
492;Winzer;0
493;Windorf;0
494;Wallerfing;0
495;Schöfweg;0
496;Schaufling;0
497;Stephansposching;0
498;Sankt Oswald;0
499;Riedlhütte;0
500;Otzing;0
501;Oberpöring;0
502;Offenberg;0
503;Niederwinkling;0
504;Niederalteich;0
505;Neuschönau;0
506;Moos;0
507;Mariaposching;0
508;Lalling;0
509;Künzing;0
510;Innernzell;0
511;Iggensbach;0
512;Hohenau;0
513;Hofkirchen;0
514;Haarbach;0
515;Grattersdorf;0
516;Grafling;0
517;Fürstenstein;0
518;Eppenschlag;0
519;Eging a. See;0
