Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",124.500 € 2.147 €/m²,58 m²,Unknown,Unknown,https://www.immowelt.de/expose/cba7753f-4b93-495d-9bd4-713b9d991d6c
"Innenstadt, Coburg (96450)",349.000 € 2.624 €/m²,8 Zimmer,133 m²,2. Geschoss,https://www.immowelt.de/expose/829918d0-0b3b-46d1-bb7c-3b49d492af70
"Kanonenweg 11, Innenstadt, Coburg (96450)",313.000 € 4.891 €/m²,2 Zimmer,64 m²,EG,https://www.immowelt.de/expose/e6accc7a-6ce0-48dc-ac43-fddbf8608552
"Creidlitz, Coburg (96450)",165.900 € 3.386 €/m²,2 Zimmer,49 m²,Unknown,https://www.immowelt.de/expose/077ddca3-cc7f-4508-b025-8a9a81e8f5b2
"Creidlitz, Coburg (96450)",209.000 € 2.518 €/m²,3 Zimmer,83 m²,Unknown,https://www.immowelt.de/expose/15b6eeb7-d01b-45f8-b86b-079ce750dc66
"Ketschendorf, Coburg (96450)",246.000 € 3.517 €/m²,2 Zimmer,"69,9 m²",480 m² Grundstück,https://www.immowelt.de/expose/f699617e-a86c-43a2-84ee-cc5bfc7b16d2
"Scheuerfeld, Coburg (96450)",675.470 € 4.275 €/m²,6 Zimmer,158 m²,997 m² Grundstück,https://www.immowelt.de/expose/cbffd221-8738-4b1b-bdd0-c7a91379529b
"Scheuerfeld, Coburg (96450)",268.000 € 1.959 €/m²,4 Zimmer,"136,8 m²",570 m² Grundstück,https://www.immowelt.de/expose/9b47d6db-fca6-461b-bba4-6c73d2f4bcd8
"Innenstadt, Coburg (96450)",225.000 € 3.054 €/m²,4 Zimmer,"73,7 m²",4. Geschoss,https://www.immowelt.de/expose/5a65056d-febf-4526-acec-29f83a18a7ae
"Innenstadt, Coburg (96450)",265.000 € 2.149 €/m²,4 Zimmer,"123,3 m²",560 m² Grundstück,https://www.immowelt.de/expose/beeb857b-baf0-4483-89d4-abe05bf4645a
